PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_NA_LUT_Up)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MIR4454	chr4	162868467	162868965	+	0	NA	Intergenic	L1PB1|LINE|L1	224912	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA
NRG1	chr8	32858050	32858931	+	0	NA	Intergenic	Intergenic	136655	NM_001322197	3084		NM_004495	ENSG00000157168	NRG1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	neuregulin 1	protein-coding
NNMT	chr11	114192628	114193522	+	0	NA	intron (NM_001354751, intron 4 of 6)	L2c|LINE|L2	-64731	NM_001372047	4837		NM_006169	ENSG00000166741	NNMT	-	nicotinamide N-methyltransferase	protein-coding
ERICH6B	chr13	45626781	45628486	+	0	NA	Intergenic	Intergenic	-11894	NM_182542	220081		NM_182542	ENSG00000165837	ERICH6B	FAM194B	glutamate rich 6B	protein-coding
PARP8	chr5	50627820	50627994	+	0	NA	Intergenic	Intergenic	-38024	NM_001178055	79668		NM_024615	ENSG00000151883	PARP8	ARTD16|pART16	poly(ADP-ribose) polymerase family member 8	protein-coding
CDH17	chr8	94170856	94171457	+	0	NA	intron (NM_001144663, intron 7 of 17)	intron (NM_001144663, intron 7 of 17)	37399	NM_004063	1015		NM_004063	ENSG00000079112	CDH17	CDH16|HPT-1|HPT1	cadherin 17	protein-coding
SLMAP	chr3	57825087	57825848	+	0	NA	intron (NR_165328, intron 2 of 22)	L1MB4|LINE|L1	-64447	NM_001311178	7871		NM_007159	ENSG00000163681	SLMAP	SLAP	sarcolemma associated protein	protein-coding
PAM	chr5	102738002	102738430	+	0	NA	Intergenic	L1MD1|LINE|L1	-16567	NM_001319943	5066		NM_000919	ENSG00000145730	PAM	PAL|PAM-1|PHM	peptidylglycine alpha-amidating monooxygenase	protein-coding
LINC02105	chr5	53879860	53880234	+	0	NA	Intergenic	Intergenic	-60365	NR_147168	105378966		NR_147167	ENSG00000250447	LINC02105	-	long intergenic non-protein coding RNA 2105	ncRNA
XRCC4	chr5	83237095	83237539	+	0	NA	intron (NM_022550, intron 6 of 7)	L1MA4|LINE|L1	159770	NM_001318012	7518		NM_003401	ENSG00000152422	XRCC4	SSMED|hXRCC4	X-ray repair cross complementing 4	protein-coding
LINC01289	chr8	63768067	63768391	+	0	NA	Intergenic	L1MD1|LINE|L1	-1201	NR_038875	286184		NR_038875	ENSG00000253734	LINC01289	-	long intergenic non-protein coding RNA 1289	ncRNA
ETV5	chr3	186202771	186203201	+	0	NA	intron (NM_001346, intron 21 of 24)	intron (NM_001346, intron 21 of 24)	-93897	NM_004454	2119		NM_004454	ENSG00000244405	ETV5	ERM	ETS variant transcription factor 5	protein-coding
LOC101928519	chr6	19303417	19303704	+	0	NA	Intergenic	Intergenic	-123080	NR_110860	101928519		NR_110860		LOC101928519	-	uncharacterized LOC101928519	ncRNA
LINC01049-2	chr13	90395557	90396326	+	0	NA	Intergenic	MER51-int|LTR|ERV1	-97347	NR_120414	101927224		NR_120414		LINC01049	-	long intergenic non-protein coding RNA 1049	ncRNA
LINC02271	chr4	61128538	61129309	+	0	NA	Intergenic	Intergenic	-14733	NR_147148	105377249		NR_147148	ENSG00000240152	LINC02271	-	long intergenic non-protein coding RNA 2271	ncRNA
ATF7IP	chr12	14422647	14423134	+	0	NA	intron (NM_181352, intron 1 of 14)	L1MB8|LINE|L1	37609	NM_181352	55729		NM_018179	ENSG00000171681	ATF7IP	AM|ATF-IP|ATF7IP1|MCAF|MCAF1|p621	activating transcription factor 7 interacting protein	protein-coding
ZFAND6	chr15	80068692	80069079	+	0	NA	intron (NM_001242914, intron 1 of 6)	L2c|LINE|L2	-3676	NM_001242915	54469		NM_019006	ENSG00000086666	ZFAND6	AWP1|ZA20D3|ZFAND5B	zinc finger AN1-type containing 6	protein-coding
LINC02223	chr5	18088070	18088366	+	0	NA	Intergenic	L2b|LINE|L2	280944	NR_134287	646241		NR_134286		LINC02223	-	long intergenic non-protein coding RNA 2223	ncRNA
SIPA1L2	chr1	232669799	232670830	+	0	NA	Intergenic	Intergenic	-39818	NM_001377488	57568		NM_020808	ENSG00000116991	SIPA1L2	SPAL2|SPAR2	signal induced proliferation associated 1 like 2	protein-coding
KYNU	chr2	142762847	142763381	+	0	NA	Intergenic	L1MA4A|LINE|L1	-114550	NM_001032998	8942		NM_003937	ENSG00000115919	KYNU	KYNUU|VCRL2	kynureninase	protein-coding
STX12	chr1	27752498	27752877	+	0	NA	intron (NM_001143912, intron 7 of 9)	L3|LINE|CR1	-20532	NM_177424	23673		NM_177424	ENSG00000117758	STX12	STX13|STX14	syntaxin 12	protein-coding
LOC101927045	chr14	24469451	24469955	+	0	NA	intron (NR_110032, intron 2 of 2)	L1MA5A|LINE|L1	26750	NR_110032	101927045		NR_110032		LOC101927045	-	uncharacterized LOC101927045	ncRNA
MIR4275	chr4	28427283	28427919	+	0	NA	Intergenic	L1MA4A|LINE|L1	-391981	NR_036237	100422937		NR_036237	ENSG00000283275	MIR4275	-	microRNA 4275	ncRNA
CBY2	chr13	45748374	45749575	+	0	NA	Intergenic	Intergenic	46505	NM_001286342	220082		NM_152719	ENSG00000174015	CBY2	NURIT|SPERT	chibby family member 2	protein-coding
SEMA3A	chr7	84291812	84292124	+	0	NA	Intergenic	Intergenic	-97179	NM_006080	10371		NM_006080	ENSG00000075213	SEMA3A	COLL1|HH16|Hsema-I|Hsema-III|SEMA1|SEMAD|SEMAIII|SEMAL|SemD|coll-1	semaphorin 3A	protein-coding
LOC102724357	chr6	169053558	169054475	+	0	NA	Intergenic	Tigger1|DNA|TcMar-Tigger	-13770	NR_134619	102724357		NR_134619	ENSG00000234519	LOC102724357	-	uncharacterized LOC102724357	ncRNA
PEX2	chr8	77162507	77163541	+	0	NA	Intergenic	Intergenic	-161980	NM_001172087	5828		NM_000318	ENSG00000164751	PEX2	PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3	peroxisomal biogenesis factor 2	protein-coding
BCL2L14	chr12	11988920	11989453	+	0	NA	Intergenic	L1MA5A|LINE|L1	-60675	NM_001370269	79370		NM_030766	ENSG00000121380	BCL2L14	BCLG	BCL2 like 14	protein-coding
LINC01526	chr6	81792756	81793427	+	0	NA	Intergenic	Intergenic	21101	NR_126363	101928770		NR_126363	ENSG00000224995	LINC01526	Lnc-FAM46A-1	long intergenic non-protein coding RNA 1526	ncRNA
RUNX1T1-2	chr8	92319260	92319748	+	0	NA	Intergenic	Intergenic	-216119	NM_175634	862		NM_004349	ENSG00000079102	RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	RUNX1 partner transcriptional co-repressor 1	protein-coding
LINC00353	chr13	89726746	89727500	+	0	NA	Intergenic	L1MC1|LINE|L1	-162710	NR_046991	100874139		NR_046991		LINC00353	-	long intergenic non-protein coding RNA 353	ncRNA
PPM1E	chr17	58893242	58893421	+	0	NA	intron (NM_014906, intron 1 of 6)	L1MC1|LINE|L1	137462	NR_048561	22843		NM_014906	ENSG00000175175	PPM1E	CAMKPN|CaMKP-N|POPX1|PP2CH|caMKN	protein phosphatase, Mg2+/Mn2+ dependent 1E	protein-coding
MTMR2-2	chr11	95884457	95884933	+	0	NA	intron (NM_201278, intron 3 of 16)	intron (NM_201278, intron 3 of 16)	39412	NM_201278	8898		NM_016156	ENSG00000087053	MTMR2	CMT4B|CMT4B1	myotubularin related protein 2	protein-coding
LOC101927960	chr2	208913320	208914268	+	0	NA	Intergenic	MER51B|LTR|ERV1	371152	NR_136588	101927960		NR_136588		LOC101927960	-	uncharacterized LOC101927960	ncRNA
LINC02261	chr4	28003675	28004244	+	0	NA	Intergenic	Intergenic	786480	NR_125921	101929199		NR_125921	ENSG00000249699	LINC02261	-	long intergenic non-protein coding RNA 2261	ncRNA
RUNX1T1	chr8	91723278	91723804	+	0	NA	Intergenic	Intergenic	294139	NM_175636	862		NM_004349	ENSG00000079102	RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	RUNX1 partner transcriptional co-repressor 1	protein-coding
UBE3A-2	chr15	25531207	25531732	+	0	NA	Intergenic	Intergenic	-92413	NM_000462	7337		NM_000462	ENSG00000114062	UBE3A	ANCR|AS|E6-AP|EPVE6AP|HPVE6A|PIX1	ubiquitin protein ligase E3A	protein-coding
CDH20	chr18	61127711	61128413	+	0	NA	Intergenic	Intergenic	-205368	NM_031891	28316		NM_031891	ENSG00000101542	CDH20	CDH7L3|Cdh7	cadherin 20	protein-coding
ZNF630	chrX	48086239	48086620	+	0	NA	Intergenic	ERVL47-int|LTR|ERVL	-14771	NM_001190255	57232		NM_001037735	ENSG00000221994	ZNF630	dJ54B20.2	zinc finger protein 630	protein-coding
CDH9	chr5	26610647	26610981	+	0	NA	Intergenic	Intergenic	427772	NM_016279	1007		NM_016279	ENSG00000113100	CDH9	-	cadherin 9	protein-coding
ARHGAP6	chrX	11244834	11245325	+	0	NA	intron (NR_109776, intron 3 of 14)	intron (NR_109776, intron 3 of 14)	20913	NM_013423	395		NM_001174	ENSG00000047648	ARHGAP6	RHOGAP6|RHOGAPX-1	Rho GTPase activating protein 6	protein-coding
TPST1	chr7	66246252	66247068	+	0	NA	intron (NM_003596, intron 2 of 5)	intron (NM_003596, intron 2 of 5)	41326	NM_003596	8460		NM_003596	ENSG00000169902	TPST1	TANGO13A	tyrosylprotein sulfotransferase 1	protein-coding
TMEM47-2	chrX	34749857	34750572	+	0	NA	Intergenic	Intergenic	-92929	NM_031442	83604		NM_031442	ENSG00000147027	TMEM47	BCMP1|TM4SF10|VAB-9	transmembrane protein 47	protein-coding
AIPL1	chr17	6341862	6342289	+	0	NA	Intergenic	Intergenic	93046	NM_001285400	23746		NM_014336	ENSG00000129221	AIPL1	AIPL2|LCA4	aryl hydrocarbon receptor interacting protein like 1	protein-coding
CADM2-2	chr3	84984244	84984870	+	0	NA	intron (NM_001381964, intron 2 of 10)	intron (NM_001381964, intron 2 of 10)	25568	NM_001167674	253559		NM_153184	ENSG00000175161	CADM2	IGSF4D|NECL3|Necl-3|SynCAM 2|SynCAM-2|synCAM2	cell adhesion molecule 2	protein-coding
CDH8	chr16	63195405	63195864	+	0	NA	Intergenic	Intergenic	-1159196	NM_001796	1006		NM_001796	ENSG00000150394	CDH8	Nbla04261	cadherin 8	protein-coding
NEK10-3	chr3	27094450	27095691	+	0	NA	Intergenic	Intergenic	121453	NM_001031741	152110		NM_152534	ENSG00000163491	NEK10	CILD44	NIMA related kinase 10	protein-coding
FAM242B	chr20	29587571	29588714	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	39423	NR_133643	105379478		NR_133643		FAM242B	-	family with sequence similarity 242 member B	ncRNA
MIR488	chr1	176969660	176970230	+	0	NA	intron (NM_207108, intron 8 of 21)	intron (NM_207108, intron 8 of 21)	59500	NR_030163	574441		NR_030163	ENSG00000202609	MIR488	MIRN488|hsa-mir-488|mir-488	microRNA 488	ncRNA
LINC01122	chr2	58521887	58523142	+	0	NA	intron (NR_033873, intron 1 of 13)	intron (NR_033873, intron 1 of 13)	1761	NR_033873	400955		NR_033873	ENSG00000233723	LINC01122	-	long intergenic non-protein coding RNA 1122	ncRNA
LOC101928519-2	chr6	19032647	19033107	+	0	NA	Intergenic	Intergenic	147603	NR_110860	101928519		NR_110860		LOC101928519	-	uncharacterized LOC101928519	ncRNA
MTPN	chr7	136071206	136071898	+	0	NA	Intergenic	Intergenic	-94193	NM_145808	136319		NM_145808	ENSG00000105887	MTPN	GCDP|V-1	myotrophin	protein-coding
LINC00838	chr10	33748931	33750566	+	0	NA	Intergenic	(T)n|Simple_repeat|Simple_repeat	22932	NR_038932	100505583		NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
PCGEM1	chr2	192815187	192815691	+	0	NA	Intergenic	L1MA4|LINE|L1	65594	NR_002769	64002		NR_002769	ENSG00000227418	PCGEM1	LINC00071|NCRNA00071|PCAT9	PCGEM1 prostate-specific transcript	ncRNA
NUAK1	chr12	105978380	105978922	+	0	NA	Intergenic	Intergenic	161382	NM_014840	9891		NM_014840	ENSG00000074590	NUAK1	ARK5	NUAK family kinase 1	protein-coding
SUGCT	chr7	40499916	40500546	+	0	NA	intron (NM_001193312, intron 11 of 12)	intron (NM_001193312, intron 11 of 12)	365226	NM_001193311	79783		NM_024728	ENSG00000175600	SUGCT	C7orf10|DERP13|GA3|ORF19	succinyl-CoA:glutarate-CoA transferase	protein-coding
LINC01415	chr18	55794885	55795188	+	0	NA	Intergenic	Intergenic	-13311	NR_145452	100132501		NR_145452		LINC01415	TCONS_00026208	long intergenic non-protein coding RNA 1415	ncRNA
COL25A1	chr4	109087016	109087215	+	0	NA	intron (NM_198721, intron 3 of 36)	intron (NM_198721, intron 3 of 36)	215543	NM_032518	84570		NM_032518	ENSG00000188517	COL25A1	AMY|CFEOM5|CLAC|CLAC-P|CLACP	collagen type XXV alpha 1 chain	protein-coding
LOC100506474	chr2	13015710	13016303	+	0	NA	Intergenic	Intergenic	-8993	NR_038434	100506474		NR_038434	ENSG00000225649	LOC100506474	-	uncharacterized LOC100506474	ncRNA
CDH18-AS1	chr5	20368448	20369266	+	0	NA	intron (NM_001349558, intron 1 of 15)	intron (NM_001349558, intron 1 of 15)	63306	NR_146519	102725105		NR_146519	ENSG00000249854	CDH18-AS1	-	CDH18 antisense RNA 1	ncRNA
GPX7	chr1	52580912	52581642	+	0	NA	Intergenic	Intergenic	-21094	NM_015696	2882		NM_015696	ENSG00000116157	GPX7	CL683|GPX6|GPx-7|GSHPx-7|NPGPx	glutathione peroxidase 7	protein-coding
LINC01544-2	chr18	61787209	61787603	+	0	NA	Intergenic	L1MA2|LINE|L1	39230	NR_103449	100996669		NR_103449		LINC01544	-	long intergenic non-protein coding RNA 1544	ncRNA
TMEM200A	chr6	130467682	130467953	+	0	NA	Intergenic	L2c|LINE|L2	30700	NM_052913	114801		NM_052913	ENSG00000164484	TMEM200A	KIAA1913|TTMA|TTMC	transmembrane protein 200A	protein-coding
COL25A1-2	chr4	109274908	109275753	+	0	NA	intron (NM_198721, intron 3 of 36)	intron (NM_198721, intron 3 of 36)	27328	NM_032518	84570		NM_032518	ENSG00000188517	COL25A1	AMY|CFEOM5|CLAC|CLAC-P|CLACP	collagen type XXV alpha 1 chain	protein-coding
LINC00460-3	chr13	106415586	106416866	+	0	NA	Intergenic	Intergenic	39662	NR_163477	728192		NR_034119	ENSG00000233532	LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
KCNG1	chr20	51225612	51225976	+	0	NA	Intergenic	MER51A|LTR|ERV1	-202687	NM_002237	3755		NM_002237	ENSG00000026559	KCNG1	K13|KCNG|KV6.1|kH2	potassium voltage-gated channel modifier subfamily G member 1	protein-coding
MIR548I4	chrX	84318657	84319089	+	0	NA	3' UTR (NM_001177479, exon 11 of 11)	3' UTR (NM_001177479, exon 11 of 11)	-93045	NR_031690	100302191		NR_031690	ENSG00000221494	MIR548I4	MIR548I-4|MIRN548I4|hsa-mir-548i-4	microRNA 548i-4	ncRNA
MIR1269A	chr4	66771989	66772371	+	0	NA	Intergenic	L1PREC2|LINE|L1	495356	NR_031673	100302177		NR_031673	ENSG00000221563	MIR1269A	MIR1269|MIRN1269|hsa-mir-1269|hsa-mir-1269a	microRNA 1269a	ncRNA
BNC2-AS1	chr9	16688886	16689606	+	0	NA	intron (NM_001317940, intron 2 of 5)	intron (NM_001317940, intron 2 of 5)	-37568	NR_151723	111216284		NR_151723	ENSG00000234779	BNC2-AS1	-	BNC2 antisense RNA 1	ncRNA
LOC101928855	chr17	80710622	80711451	+	0	NA	intron (NM_020761, intron 4 of 33)	L1M5|LINE|L1	94596	NR_110852	101928855		NR_110852	ENSG00000262833	LOC101928855	-	uncharacterized LOC101928855	ncRNA
SPARCL1	chr4	87478624	87479546	+	0	NA	intron (NM_004684, intron 10 of 10)	intron (NM_004684, intron 10 of 10)	50418	NM_001291977	8404		NM_004684	ENSG00000152583	SPARCL1	MAST 9|MAST9|PIG33|SC1	SPARC like 1	protein-coding
PPP1R1C	chr2	182110504	182110728	+	0	NA	intron (NM_001261425, intron 4 of 5)	MamRep605|LTR?|LTR?	124763	NR_048566	151242		NM_001080545	ENSG00000150722	PPP1R1C	IPP5	protein phosphatase 1 regulatory inhibitor subunit 1C	protein-coding
LOC101927418	chr14	44930542	44931366	+	0	NA	intron (NM_017658, intron 4 of 4)	intron (NM_017658, intron 4 of 4)	-19037	NR_110050	101927418		NR_110050	ENSG00000258949	LOC101927418	-	uncharacterized LOC101927418	ncRNA
ROBO1-2	chr3	79672004	79672887	+	0	NA	intron (NM_002941, intron 1 of 30)	intron (NM_002941, intron 1 of 30)	95553	NM_002941	6091		NM_002941	ENSG00000169855	ROBO1	CPHD8|DUTT1|NORS|NYS8|SAX3	roundabout guidance receptor 1	protein-coding
LINC01414	chr8	64157506	64157783	+	0	NA	intron (NR_125826, intron 2 of 4)	intron (NR_125826, intron 2 of 4)	210914	NR_125826	102724623		NR_125826	ENSG00000253554	LINC01414	-	long intergenic non-protein coding RNA 1414	ncRNA
NBPF22P-3	chr5	86378958	86379796	+	0	NA	Intergenic	L1PB|LINE|L1	96933	NR_003719	285622		NR_003719		NBPF22P	-	NBPF member 22, pseudogene	pseudo
MSC-AS1	chr8	71732835	71733988	+	0	NA	Intergenic	LTR78B|LTR|ERV1	-109712	NR_033652	100132891		NR_033651	ENSG00000235531	MSC-AS1	MAT1	MSC antisense RNA 1	ncRNA
BANK1	chr4	101784939	101785696	+	0	NA	Intergenic	Intergenic	-5290	NM_001127507	55024		NM_017935	ENSG00000153064	BANK1	BANK	B cell scaffold protein with ankyrin repeats 1	protein-coding
AGTPBP1	chr9	85303246	85304022	+	0	NA	Intergenic	Intergenic	438320	NM_001330701	23287		NM_015239	ENSG00000135049	AGTPBP1	CCP1|CONDCA|NNA1	ATP/GTP binding carboxypeptidase 1	protein-coding
NEK10	chr3	27352088	27352705	+	0	NA	intron (NM_199347, intron 4 of 24)	intron (NM_199347, intron 4 of 24)	16987	NM_199347	152110		NM_152534	ENSG00000163491	NEK10	CILD44	NIMA related kinase 10	protein-coding
ASAP1	chr8	130634336	130634813	+	0	NA	Intergenic	L1MDa|LINE|L1	-190900	NM_001362926	50807		NM_018482	ENSG00000153317	ASAP1	AMAP1|CENTB4|DDEF1|PAG2|PAP|ZG14P	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	protein-coding
SLITRK1	chr13	83204813	83205383	+	0	NA	Intergenic	Intergenic	677295	NM_052910	114798		NM_052910	ENSG00000178235	SLITRK1	LRRC12|TTM	SLIT and NTRK like family member 1	protein-coding
UBASH3B	chr11	122733214	122734029	+	0	NA	intron (NM_032873, intron 1 of 13)	intron (NM_032873, intron 1 of 13)	77899	NM_032873	84959		NM_032873	ENSG00000154127	UBASH3B	STS-1|STS1|TULA-2|TULA2|p70	ubiquitin associated and SH3 domain containing B	protein-coding
AGTPBP1-2	chr9	85334999	85335910	+	0	NA	Intergenic	Intergenic	406500	NM_001330701	23287		NM_015239	ENSG00000135049	AGTPBP1	CCP1|CONDCA|NNA1	ATP/GTP binding carboxypeptidase 1	protein-coding
CAPN8	chr1	223661591	223662260	+	0	NA	intron (NM_001143962, intron 1 of 20)	L1MB3|LINE|L1	3776	NM_001143962	388743		NM_001143962	ENSG00000203697	CAPN8	nCL-2	calpain 8	protein-coding
SNORA37	chr18	54123538	54124503	+	0	NA	Intergenic	Intergenic	98392	NR_002970	677819		NR_002970	ENSG00000207233	SNORA37	ACA37	small nucleolar RNA, H/ACA box 37	snoRNA
PIK3C3	chr18	41850810	41851306	+	0	NA	Intergenic	Intergenic	-104176	NM_001308020	5289		NM_002647	ENSG00000078142	PIK3C3	VPS34|Vps34|hVps34	phosphatidylinositol 3-kinase catalytic subunit type 3	protein-coding
TBC1D5	chr3	17535281	17535515	+	0	NA	intron (NM_001349075, intron 1 of 22)	intron (NM_001349075, intron 1 of 22)	164622	NM_001134381	9779		NM_014744	ENSG00000131374	TBC1D5	-	TBC1 domain family member 5	protein-coding
MIR4319	chr18	45053749	45054299	+	0	NA	intron (NM_001379141, intron 5 of 5)	intron (NM_001379141, intron 5 of 5)	-83858	NR_036203	100422829		NR_036203	ENSG00000265957	MIR4319	-	microRNA 4319	ncRNA
ADRA2B	chr2	96094530	96095011	+	0	NA	Intergenic	L1MB5|LINE|L1	21801	NM_000682	151		NM_000682	ENSG00000274286	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	adrenoceptor alpha 2B	protein-coding
LINC02868	chr1	116716465	116717449	+	0	NA	Intergenic	L1MA7|LINE|L1	22845	NR_149353	388667		NR_149353	ENSG00000203864	LINC02868	C1orf137	long intergenic non-protein coding RNA 2868	ncRNA
CTBP2	chr10	125299557	125300160	+	0	NA	Intergenic	L1MC|LINE|L1	-138828	NM_001083914	1488		NM_001329	ENSG00000175029	CTBP2	-	C-terminal binding protein 2	protein-coding
MSC-AS1-2	chr8	71726922	71728019	+	0	NA	Intergenic	(A)n|Simple_repeat|Simple_repeat	-115653	NR_033652	100132891		NR_033651	ENSG00000235531	MSC-AS1	MAT1	MSC antisense RNA 1	ncRNA
RTL3	chrX	78564321	78564823	+	0	NA	Intergenic	L1MA2|LINE|L1	94756	NM_152694	203430		NM_152694	ENSG00000179300	RTL3	Mar3|Mart3|SIRH9|ZCCHC5|ZHC5	retrotransposon Gag like 3	protein-coding
PHEX	chrX	21987398	21988314	+	0	NA	intron (NM_004595, intron 9 of 10)	intron (NM_004595, intron 9 of 10)	-44469	NM_001282754	5251		NM_000444	ENSG00000102174	PHEX	HPDR|HPDR1|HYP|HYP1|LXHR|PEX|XLH	phosphate regulating endopeptidase X-linked	protein-coding
RAD51B	chr14	68157997	68158348	+	0	NA	intron (NM_133509, intron 7 of 10)	intron (NM_133509, intron 7 of 10)	334580	NM_001321815	5890		NM_002877	ENSG00000182185	RAD51B	R51H2|RAD51L1|REC2	RAD51 paralog B	protein-coding
SNHG8	chr4	118173644	118174558	+	0	NA	intron (NR_146513, intron 6 of 13)	intron (NR_146513, intron 6 of 13)	-104661	NR_034011	100093630		NR_003584	ENSG00000269893	SNHG8	LINC00060|NCRNA00060	small nucleolar RNA host gene 8	ncRNA
PACRG-AS2	chr6	162922493	162923015	+	0	NA	intron (NM_001080378, intron 3 of 5)	L1MA5|LINE|L1	131407	NR_110871	101929239		NR_110871	ENSG00000225437	PACRG-AS2	-	PACRG antisense RNA 2	ncRNA
SOX2	chr3	181699163	181699732	+	0	NA	intron (NR_075093, intron 4 of 4)	intron (NR_075093, intron 4 of 4)	-12478	NM_003106	6657		NM_003106	ENSG00000181449	SOX2	ANOP3|MCOPS3	SRY-box transcription factor 2	protein-coding
LOC101929563-3	chr9	23689161	23690137	+	0	NA	TTS (NM_001171195)	TTS (NM_001171195)	-17250	NR_121602	101929563		NR_121602	ENSG00000283982	LOC101929563	-	uncharacterized LOC101929563	ncRNA
NPEPPS	chr17	47560602	47560880	+	0	NA	intron (NM_006310, intron 2 of 22)	intron (NM_006310, intron 2 of 22)	29633	NM_006310	9520		NM_006310	ENSG00000141279	NPEPPS	AAP-S|MP100|PSA	aminopeptidase puromycin sensitive	protein-coding
AUTS2-2	chr7	69654027	69654643	+	0	NA	intron (NM_001127232, intron 1 of 4)	intron (NM_001127232, intron 1 of 4)	55860	NM_001127231	26053		NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
NECTIN3-AS1	chr3	110904223	110904933	+	0	NA	Intergenic	L2a|LINE|L2	165381	NR_045114	100506555		NR_045114		NECTIN3-AS1	PVRL3-AS1	NECTIN3 antisense RNA 1	ncRNA
LINC00989	chr4	79467445	79467837	+	0	NA	Intergenic	Intergenic	-24952	NR_038826	100506035		NR_038826	ENSG00000250334	LINC00989	-	long intergenic non-protein coding RNA 989	ncRNA
PACRG	chr6	162489634	162490155	+	0	NA	intron (NM_013987, intron 1 of 10)	intron (NM_013987, intron 1 of 10)	-237238	NM_001080378	135138		NM_152410	ENSG00000112530	PACRG	BUG21|GLUP|HAK005771|PACRG2.1|PARK2CRG|pf12	parkin coregulated	protein-coding
JARID2	chr6	15239589	15240367	+	0	NA	Intergenic	Intergenic	-6091	NM_004973	3720		NM_004973	ENSG00000008083	JARID2	DIDDF|JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
DCLK2	chr4	149951064	149951797	+	0	NA	Intergenic	Intergenic	-127015	NM_001040261	166614		NM_152619	ENSG00000170390	DCLK2	CL2|CLICK-II|CLICK2|CLIK2|DCAMKL2|DCDC3|DCDC3B|DCK2	doublecortin like kinase 2	protein-coding
LOC729681	chr6	166093684	166094576	+	0	NA	Intergenic	L1PREC2|LINE|L1	-3590	NR_147704	729681		NR_147704		LOC729681	-	uncharacterized LOC729681	ncRNA
LINC00687	chr20	11810344	11811204	+	0	NA	intron (NR_110635, intron 1 of 1)	intron (NR_110635, intron 1 of 1)	59941	NR_110635	728450		NR_110635	ENSG00000228422	LINC00687	C20orf61|dJ1012F16.1	long intergenic non-protein coding RNA 687	ncRNA
GIMD1	chr4	106386275	106387371	+	0	NA	Intergenic	Intergenic	-18045	NM_001195138	100507096		NM_001195138	ENSG00000250298	GIMD1	-	GIMAP family P-loop NTPase domain containing 1	protein-coding
DIRC3-AS1	chr2	217365774	217367400	+	0	NA	intron (NR_026597, intron 8 of 12)	intron (NR_026597, intron 8 of 12)	83854	NR_133642	105373877		NR_133642		DIRC3-AS1	-	DIRC3 antisense RNA 1	ncRNA
MTMR12	chr5	32277602	32278279	+	0	NA	intron (NM_001294344, intron 1 of 13)	Tigger10|DNA|TcMar-Tigger	34999	NM_001040446	54545		NM_019061	ENSG00000150712	MTMR12	3-PAP|PIP3AP	myotubularin related protein 12	protein-coding
