PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
LINC02118	chr5	51774736	51775135	+	0	NA	Intergenic	MSTB2|LTR|ERVL-MaLR	-233096	NR_147166	105378960		NR_147166	ENSG00000248789	LINC02118	-	long intergenic non-protein coding RNA 2118	ncRNA
NIPSNAP3B	chr9	104791737	104792056	+	0	NA	intron (NM_005502, intron 43 of 49)	intron (NM_005502, intron 43 of 49)	27767	NM_018376	55335		NM_018376	ENSG00000165028	NIPSNAP3B	FP944|NIPSNAP3|SNAP1	nipsnap homolog 3B	protein-coding
SSTR3	chr22	37220743	37221358	+	0	NA	Intergenic	L2|LINE|L2	-8573	NM_001051	6753		NM_001051	ENSG00000278195	SSTR3	SS-3-R|SS3-R|SS3R|SSR-28|SST3	somatostatin receptor 3	protein-coding
LINC00844	chr10	58920089	58920601	+	0	NA	Intergenic	Intergenic	-79173	NR_108046	100507008		NR_108046		LINC00844	-	long intergenic non-protein coding RNA 844	ncRNA
SPTSSA	chr14	34236892	34237371	+	0	NA	Intergenic	L1ME1|LINE|L1	225109	NM_138288	171546		NM_138288	ENSG00000165389	SPTSSA	C14orf147|SPG90A|SPG90B|SSSPTA	serine palmitoyltransferase small subunit A	protein-coding
VTRNA1-3	chr5	140736850	140737467	+	0	NA	Intergenic	MER72|LTR|ERV1	10999	NR_026705	56662		NR_026705	ENSG00000202515	VTRNA1-3	HVG3|VAULTRC3|VR3|hvg-3	vault RNA 1-3	ncRNA
DMRTA1-2	chr9	22483733	22483946	+	0	NA	Intergenic	Intergenic	37015	NM_022160	63951		NM_022160	ENSG00000176399	DMRTA1	DMO|DMRT4	DMRT like family A1	protein-coding
LINC02915	chr15	39362514	39363858	+	0	NA	Intergenic	Intergenic	112517	NR_144507	400360		NM_207445	ENSG00000175746	LINC02915	C15orf54	long intergenic non-protein coding RNA 2915	ncRNA
LINC01515	chr10	65973381	65974539	+	0	NA	intron (NM_013266, intron 16 of 17)	L1PA16|LINE|L1	402535	NR_120647	101928913		NR_120647		LINC01515	-	long intergenic non-protein coding RNA 1515	ncRNA
DMRTA1	chr9	22342634	22343367	+	0	NA	Intergenic	AmnSINE1|SINE|5S-Deu-L2	-103824	NM_022160	63951		NM_022160	ENSG00000176399	DMRTA1	DMO|DMRT4	DMRT like family A1	protein-coding
LOC100506790	chrX	135405242	135405904	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	9144	NR_104652	100506790		NR_104652	ENSG00000290806	LOC100506790	-	uncharacterized LOC100506790	ncRNA
PTPRQ	chr12	80552069	80552453	+	0	NA	intron (NM_001145026, intron 25 of 44)	intron (NM_001145026, intron 25 of 44)	108026	NM_001145026	374462		NM_001145026	ENSG00000139304	PTPRQ	DFNA73|DFNB84|DFNB84A|PTPGMC1|R-PTP-Q	protein tyrosine phosphatase receptor type Q	protein-coding
NECTIN3-AS1	chr3	110392075	110392478	+	0	NA	Intergenic	Intergenic	677683	NR_045114	100506555		NR_045114		NECTIN3-AS1	PVRL3-AS1	NECTIN3 antisense RNA 1	ncRNA
UQCC5	chr3	52609508	52609774	+	0	NA	exon (NM_001366070, exon 19 of 31)	exon (NM_001366070, exon 19 of 31)	73036	NM_001124767	440957		NM_001124767	ENSG00000168273	UQCC5	C3orf78|SMIM4	ubiquinol-cytochrome c reductase complex assembly factor 5	protein-coding
MIR8068	chr11	28760864	28761324	+	0	NA	Intergenic	MER73|LTR|ERVL	-283546	NR_107035	102466876		NR_107035	ENSG00000273912	MIR8068	hsa-mir-8068	microRNA 8068	ncRNA
MIR4643	chr6	91087686	91089196	+	0	NA	Intergenic	Intergenic	-433219	NR_039786	100616174		NR_039786	ENSG00000263734	MIR4643	-	microRNA 4643	ncRNA
ZFC3H1	chr12	71626958	71628070	+	0	NA	intron (NM_144982, intron 21 of 34)	intron (NM_144982, intron 21 of 34)	36334	NM_144982	196441		NM_144982	ENSG00000133858	ZFC3H1	CCDC131|CSRC2|PSRC2	zinc finger C3H1-type containing	protein-coding
ABCC2	chr10	99776049	99776338	+	0	NA	Intergenic	MIR3|SINE|MIR	-6447	NM_000392	1244		NM_000392	ENSG00000023839	ABCC2	ABC30|CMOAT|DJS|MRP2|cMRP	ATP binding cassette subfamily C member 2	protein-coding
LINC01931	chr2	149827612	149828053	+	0	NA	intron (NR_145421, intron 2 of 4)	MER70A|LTR|ERVL	31359	NR_145421	150596		NM_153041	ENSG00000162947	LINC01931	-	long intergenic non-protein coding RNA 1931	ncRNA
LINC01477	chr18	40552856	40553336	+	0	NA	Intergenic	Intergenic	486810	NR_110791	101927900		NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
DDX10-2	chr11	108957560	108957753	+	0	NA	Intergenic	Intergenic	292587	NM_004398	1662		NM_004398	ENSG00000178105	DDX10	Dbp4|HRH-J8	DEAD-box helicase 10	protein-coding
MIR924	chr18	39413963	39414812	+	0	NA	intron (NR_024391, intron 3 of 3)	intron (NR_024391, intron 3 of 3)	207788	NR_030628	100126323		NR_030628	ENSG00000283615	MIR924	MIRN924|hsa-mir-924	microRNA 924	ncRNA
PGM5-AS1	chr9	68427007	68428096	+	0	NA	intron (NM_021965, intron 6 of 10)	intron (NM_021965, intron 6 of 10)	-69685	NR_015423	572558		NR_015423	ENSG00000224958	PGM5-AS1	FAM233A	PGM5 antisense RNA 1	ncRNA
FUNDC2P2	chr2	84160449	84161255	+	0	NA	Intergenic	Intergenic	-129830	NR_003663	388965		NM_001013648		FUNDC2P2	-	FUN14 domain containing 2 pseudogene 2	pseudo
CCAT2	chr8	127330025	127331222	+	0	NA	intron (NR_117099, intron 2 of 3)	intron (NR_117099, intron 2 of 3)	-69776	NR_109834	101805488		NR_109834	ENSG00000280997	CCAT2	LINC00873|NCCP1	colon cancer associated transcript 2	ncRNA
LRRTM1	chr2	80136300	80137019	+	0	NA	intron (NM_001164883, intron 7 of 16)	intron (NM_001164883, intron 7 of 16)	168093	NM_178839	347730		NM_178839	ENSG00000162951	LRRTM1	-	leucine rich repeat transmembrane neuronal 1	protein-coding
RPS6KA3	chrX	20712719	20713059	+	0	NA	Intergenic	Intergenic	-445980	NM_004586	6197		NM_004586	ENSG00000177189	RPS6KA3	CLS|HU-3|ISPK-1|MAPKAPK1B|MRX19|RSK|RSK2|S6K-alpha3|XLID19|p90-RSK2|pp90RSK2	ribosomal protein S6 kinase A3	protein-coding
RUNX1T1	chr8	92127662	92128717	+	0	NA	Intergenic	Intergenic	-24804	NM_175634	862		NM_004349	ENSG00000079102	RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	RUNX1 partner transcriptional co-repressor 1	protein-coding
ARHGAP26-IT1	chr5	143033947	143034218	+	0	NA	intron (NR_146198, intron 12 of 22)	L1MB7|LINE|L1	-158418	NR_046816	100874372		NR_046816	ENSG00000230789	ARHGAP26-IT1	-	ARHGAP26 intronic transcript 1	ncRNA
ANKFN1	chr17	56291636	56292521	+	0	NA	intron (NM_001370326, intron 3 of 20)	intron (NM_001370326, intron 3 of 20)	138603	NM_153228	162282		NM_153228	ENSG00000153930	ANKFN1	-	ankyrin repeat and fibronectin type III domain containing 1	protein-coding
CLK1	chr2	200867371	200867969	+	0	NA	Intergenic	AluSp|SINE|Alu	-3012	NR_027856	1195		NM_004071	ENSG00000013441	CLK1	CLK|CLK/STY|STY	CDC like kinase 1	protein-coding
DLC1	chr8	13365036	13365699	+	0	NA	intron (NM_024767, intron 4 of 4)	intron (NM_024767, intron 4 of 4)	-88583	NM_001348083	10395		NM_006094	ENSG00000164741	DLC1	ARHGAP7|HP|STARD12|p122-RhoGAP	DLC1 Rho GTPase activating protein	protein-coding
LRMDA	chr10	76270060	76271210	+	0	NA	intron (NM_032024, intron 4 of 5)	intron (NM_032024, intron 4 of 5)	487874	NM_032024	83938		NM_032024	ENSG00000148655	LRMDA	C10orf11|CDA017	leucine rich melanocyte differentiation associated	protein-coding
RNU6-2	chr3	181292661	181293285	+	0	NA	intron (NR_075093, intron 2 of 4)	intron (NR_075093, intron 2 of 4)	61236	NR_125730	103625684		NR_125730	ENSG00000207357	RNU6-2	U6-2	RNA, U6 small nuclear 2	snRNA
LOC100506474	chr2	13558285	13558882	+	0	NA	Intergenic	MER77B|LTR|ERVL	-551570	NR_038434	100506474		NR_038434	ENSG00000225649	LOC100506474	-	uncharacterized LOC100506474	ncRNA
MIR1208	chr8	128127630	128128264	+	0	NA	Intergenic	Intergenic	-22169	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
HHLA2	chr3	108404549	108404773	+	0	NA	intron (NM_014981, intron 34 of 41)	MIRc|SINE|MIR	92876	NM_001282557	11148		NM_007072	ENSG00000114455	HHLA2	B7-H5|B7-H7|B7H7|B7y	HHLA2 member of B7 family	protein-coding
LNCSRLR	chr3	145556624	145558051	+	0	NA	Intergenic	Intergenic	511848	NR_146297	109729161		NR_146297	ENSG00000240032	LNCSRLR	lncRNA-SRLR	lncRNA sorafenib resistance in renal cell carcinoma associated	ncRNA
CTHRC1	chr8	103348553	103349713	+	0	NA	Intergenic	MLT1L|LTR|ERVL-MaLR	-22405	NM_138455	115908		NM_138455	ENSG00000164932	CTHRC1	-	collagen triple helix repeat containing 1	protein-coding
NSG2	chr5	174121861	174122102	+	0	NA	Intergenic	L1ME2z|LINE|L1	76275	NM_015980	51617		NM_015980	ENSG00000170091	NSG2	CALY3|HMP19	neuronal vesicle trafficking associated 2	protein-coding
CELF4	chr18	37574235	37574424	+	0	NA	Intergenic	Intergenic	-8531	NM_001353752	56853		NM_020180	ENSG00000101489	CELF4	BRUNOL4|CELF-4	CUGBP Elav-like family member 4	protein-coding
MIR8062	chr20	7636660	7637778	+	0	NA	Intergenic	Intergenic	265611	NR_107029	102465865		NR_107029	ENSG00000278159	MIR8062	hsa-mir-8062	microRNA 8062	ncRNA
BANCR	chr9	69307459	69308303	+	0	NA	promoter-TSS (NR_047671)	promoter-TSS (NR_047671)	-825	NR_047671	100885775		NR_047671	ENSG00000278910	BANCR	LINC00586	BRAF-activated non-protein coding RNA	ncRNA
GRHL3	chr1	24283732	24284699	+	0	NA	Intergenic	Intergenic	-35142	NM_198174	57822		NM_021180	ENSG00000158055	GRHL3	SOM|TFCP2L4|VWS2	grainyhead like transcription factor 3	protein-coding
PAPPA	chr9	116087319	116088205	+	0	NA	Intergenic	Intergenic	-66029	NM_002581	5069		NM_002581	ENSG00000182752	PAPPA	ASBABP2|DIPLA1|IGFBP-4ase|PAPA|PAPP-A|PAPPA1	pappalysin 1	protein-coding
LINC02653	chr10	90451109	90451905	+	0	NA	intron (NR_110657, intron 3 of 6)	LTR33B|LTR|ERVL	89298	NR_110657	101926942		NR_110657	ENSG00000236373	LINC02653	-	long intergenic non-protein coding RNA 2653	ncRNA
KDM4C-3	chr9	7169666	7170360	+	0	NA	intron (NM_001304339, intron 21 of 21)	intron (NM_001304339, intron 21 of 21)	412040	NM_001304340	23081		NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
SNORD13I	chr11	100890871	100891351	+	0	NA	intron (NM_152432, intron 4 of 23)	intron (NM_152432, intron 4 of 23)	-43163	NR_145747	109616988		NR_145747		SNORD13I	-	small nucleolar RNA, C/D box 13I	snoRNA
H2BC12L	chr21	43586021	43586295	+	0	NA	intron (NM_007031, intron 8 of 8)	intron (NM_007031, intron 8 of 8)	20976	NM_017445	54145		NM_017445	ENSG00000234289	H2BC12L	H2B/s|H2BFS|H2BS1	H2B clustered histone 12 like	protein-coding
SNRK	chr3	43259434	43259896	+	0	NA	Intergenic	MIR|SINE|MIR	-26847	NM_001330750	54861		NM_017719	ENSG00000163788	SNRK	HSNFRK	SNF related kinase	protein-coding
LINC01065	chr13	53167399	53168027	+	0	NA	Intergenic	Intergenic	-15813	NR_125788	102723875		NR_125788		LINC01065	-	long intergenic non-protein coding RNA 1065	ncRNA
LINC00460	chr13	106246336	106246704	+	0	NA	Intergenic	Intergenic	-130044	NR_163477	728192		NR_034119	ENSG00000233532	LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
FAM76B	chr11	95521196	95521429	+	0	NA	Intergenic	Intergenic	268470	NM_144664	143684		NM_144664	ENSG00000077458	FAM76B	-	family with sequence similarity 76 member B	protein-coding
ZNF214	chr11	6992264	6992886	+	0	NA	Intergenic	Intergenic	27771	NM_001354831	7761		NM_013249	ENSG00000149050	ZNF214	BAZ-1|BAZ1	zinc finger protein 214	protein-coding
LINC01903	chr18	67783160	67784181	+	0	NA	intron (NR_033921, intron 1 of 4)	intron (NR_033921, intron 1 of 4)	31152	NR_146471	101927430		NR_146471	ENSG00000265555	LINC01903	-	long intergenic non-protein coding RNA 1903	ncRNA
LRFN5	chr14	42192796	42193546	+	0	NA	Intergenic	LTR16C|LTR|ERVL	586315	NR_144388	145581		NM_152447	ENSG00000165379	LRFN5	C14orf146|FIGLER8|SALM5	leucine rich repeat and fibronectin type III domain containing 5	protein-coding
DNAH12	chr3	57450869	57451061	+	0	NA	intron (NM_001366028, intron 25 of 73)	LTR16A1|LTR|ERVL	93379	NM_001366028	201625		NM_178504	ENSG00000174844	DNAH12	DHC3|DLP12|DLP3|DNAH12L|DNAH7L|DNAHC12|DNAHC3|DNHD2|HDHC3|HL-19|HL19	dynein axonemal heavy chain 12	protein-coding
-2	chr15	93265062	93265405	+	0	NA	Intergenic	Charlie13b|DNA|hAT-Charlie	59167	NM_001365393								
GSR	chr8	30698396	30698853	+	0	NA	intron (NM_001195104, intron 6 of 10)	intron (NM_001195104, intron 6 of 10)	29222	NM_000637	2936		NM_000637	ENSG00000104687	GSR	GR|GSRD|HEL-75|HEL-S-122m	glutathione-disulfide reductase	protein-coding
LINC02817	chr1	221161952	221163204	+	0	NA	Intergenic	Intergenic	173718	NR_024236	400804		NR_024236	ENSG00000234754	LINC02817	C1orf140	long intergenic non-protein coding RNA 2817	ncRNA
ECT2	chr3	172861301	172861725	+	0	NA	Intergenic	L2c|LINE|L2	110511	NM_001349100	1894		NM_018098	ENSG00000114346	ECT2	ARHGEF31	epithelial cell transforming 2	protein-coding
NAV2	chr11	19668576	19668823	+	0	NA	intron (NM_001111018, intron 2 of 38)	intron (NM_001111018, intron 2 of 38)	-44138	NM_145117	89797		NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
LCORL	chr4	19030154	19030336	+	0	NA	Intergenic	Intergenic	-1008370	NM_153686	254251		NM_153686	ENSG00000178177	LCORL	MLR1	ligand dependent nuclear receptor corepressor like	protein-coding
LINC02293	chr14	26775590	26776566	+	0	NA	intron (NR_110033, intron 3 of 3)	intron (NR_110033, intron 3 of 3)	-33270	NR_110557	102724890		NR_110556	ENSG00000257185	LINC02293	-	long intergenic non-protein coding RNA 2293	ncRNA
FRMPD3	chrX	107504892	107505329	+	0	NA	Intergenic	Intergenic	-17340	NM_032428	84443		NM_032428	ENSG00000147234	FRMPD3	-	FERM and PDZ domain containing 3	protein-coding
LINC02055	chr8	136665611	136666746	+	0	NA	intron (NR_147196, intron 2 of 5)	MLT1F1|LTR|ERVL-MaLR	135380	NR_147196	107986980		NR_147196	ENSG00000254101	LINC02055	-	long intergenic non-protein coding RNA 2055	ncRNA
RERGL	chr12	18141233	18141831	+	0	NA	Intergenic	MLT1H-int|LTR|ERVL-MaLR	-51339	NM_001286201	79785		NM_024730	ENSG00000111404	RERGL	-	RERG like	protein-coding
KCTD16	chr5	144194042	144194517	+	0	NA	intron (NM_020768, intron 2 of 3)	intron (NM_020768, intron 2 of 3)	-11112	NM_001370487	57528		NM_020768	ENSG00000183775	KCTD16	-	potassium channel tetramerization domain containing 16	protein-coding
RDH14	chr2	18232893	18233594	+	0	NA	Intergenic	Intergenic	327410	NM_020905	57665		NM_020905	ENSG00000240857	RDH14	PAN2|SDR7C4	retinol dehydrogenase 14	protein-coding
DACH1	chr13	71876822	71877536	+	0	NA	Intergenic	Intergenic	-9975	NM_080759	1602		NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
GHITM	chr10	83955246	83955919	+	0	NA	Intergenic	Intergenic	-183927	NM_014394	27069		NM_014394	ENSG00000165678	GHITM	DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5	growth hormone inducible transmembrane protein	protein-coding
INO80C	chr18	35508913	35509307	+	0	NA	Intergenic	MIRc|SINE|MIR	-11150	NM_194281	125476		NM_194281	ENSG00000153391	INO80C	C18orf37|IES6|hIes6	INO80 complex subunit C	protein-coding
IQCM	chr4	149531885	149532331	+	0	NA	intron (NM_001378178, intron 13 of 14)	intron (NM_001378178, intron 13 of 14)	283735	NM_001378180	285423		NM_001363507	ENSG00000234828	IQCM	-	IQ motif containing M	protein-coding
RAB27B	chr18	54823018	54823507	+	0	NA	intron (NM_001375327, intron 2 of 6)	intron (NM_001375327, intron 2 of 6)	-5215	NM_004163	5874		NM_004163	ENSG00000041353	RAB27B	C25KG	RAB27B, member RAS oncogene family	protein-coding
PRDM8	chr4	80144743	80146005	+	0	NA	Intergenic	Intergenic	-39896	NM_020226	56978		NM_020226	ENSG00000152784	PRDM8	EPM10|KMT8D|PFM5	PR/SET domain 8	protein-coding
KCNQ5	chr6	72553088	72553909	+	0	NA	Intergenic	Intergenic	-68566	NM_001160130	56479		NM_019842	ENSG00000185760	KCNQ5	Kv7.5|MRD46	potassium voltage-gated channel subfamily Q member 5	protein-coding
KIAA1217	chr10	24008653	24009191	+	0	NA	intron (NM_001098500, intron 2 of 18)	intron (NM_001098500, intron 2 of 18)	-199869	NM_001282767	56243		NM_019590	ENSG00000120549	KIAA1217	ETL4|SKT	KIAA1217	protein-coding
DUSP14	chr17	37454584	37454814	+	0	NA	intron (NM_001166105, intron 8 of 15).2	intron (NM_001166105, intron 8 of 15).2	-35192	NM_007026	11072		NM_007026	ENSG00000276023	DUSP14	MKP-L|MKP6	dual specificity phosphatase 14	protein-coding
CDH6	chr5	31106676	31107815	+	0	NA	Intergenic	Intergenic	-86441	NM_004932	1004		NM_004932	ENSG00000113361	CDH6	CAD6|KCAD	cadherin 6	protein-coding
PRR16	chr5	120405553	120406428	+	0	NA	Intergenic	THE1B|LTR|ERVL-MaLR	-58288	NM_016644	51334		NM_016644	ENSG00000184838	PRR16	DSC54|LARGEN	proline rich 16	protein-coding
LINC01752	chr20	10716580	10717526	+	0	NA	Intergenic	Intergenic	-36037	NR_110611	101929395		NR_110611		LINC01752	-	long intergenic non-protein coding RNA 1752	ncRNA
ASAP2	chr2	9232715	9233661	+	0	NA	intron (NM_001135191, intron 1 of 26)	intron (NM_001135191, intron 1 of 26)	26376	NM_003887	8853		NM_003887	ENSG00000151693	ASAP2	AMAP2|CENTB3|DDEF2|PAG3|PAP|Pap-alpha|SHAG1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	protein-coding
MIR6868	chr17	76094798	76095347	+	0	NA	intron (NM_001145297, intron 5 of 19)	AluSz|SINE|Alu	3004	NR_106928	102466753		NR_106928	ENSG00000275360	MIR6868	hsa-mir-6868	microRNA 6868	ncRNA
MIR5704	chr3	132008965	132009605	+	0	NA	intron (NM_153429, intron 2 of 16)	intron (NM_153429, intron 2 of 16)	-23354	NR_049890	100847040		NR_049890	ENSG00000265859	MIR5704	-	microRNA 5704	ncRNA
LOC105372179	chr18	69557086	69557786	+	0	NA	intron (NM_152721, intron 1 of 7)	intron (NM_152721, intron 1 of 7)	87505	NR_134579	105372179		NR_134579	ENSG00000293054	LOC105372179	-	uncharacterized LOC105372179	ncRNA
ANXA3	chr4	78543419	78544977	+	0	NA	TTS (NM_025074)	TTS (NM_025074)	-7572	NM_005139	306		NM_005139	ENSG00000138772	ANXA3	ANX3	annexin A3	protein-coding
LOC102723604	chr14	51951721	51952101	+	0	NA	intron (NM_053064, intron 3 of 3)	intron (NM_053064, intron 3 of 3)	-33340	NR_126331	102723604		NR_126331	ENSG00000258928	LOC102723604	-	uncharacterized LOC102723604	ncRNA
MIR8055	chr8	6599133	6599662	+	0	NA	intron (NM_001322042, intron 12 of 14)	intron (NM_001322042, intron 12 of 14)	22823	NR_107022	102465861		NR_107022	ENSG00000276580	MIR8055	hsa-mir-8055	microRNA 8055	ncRNA
LINC02497	chr4	31156138	31156577	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-14787	NR_125935	102723778		NR_125935		LINC02497	-	long intergenic non-protein coding RNA 2497	ncRNA
DIRAS2	chr9	90659698	90660465	+	0	NA	Intergenic	L1PA13|LINE|L1	-17257	NM_017594	54769		NM_017594	ENSG00000165023	DIRAS2	Di-Ras2	DIRAS family GTPase 2	protein-coding
ITGAV	chr2	186543606	186544580	+	0	NA	Intergenic	Intergenic	-45963	NM_002210	3685		NM_002210	ENSG00000138448	ITGAV	CD51|MSK8|VNRA|VTNR	integrin subunit alpha V	protein-coding
LINC00379	chr13	91217150	91217851	+	0	NA	Intergenic	Intergenic	-5802	NR_047004	100874150		NR_047004		LINC00379	-	long intergenic non-protein coding RNA 379	ncRNA
COL6A3	chr2	237315306	237315487	+	0	NA	Intergenic	Intergenic	98768	NM_004369	1293		NM_004369	ENSG00000163359	COL6A3	BTHLM1|BTHLM1C|DYT27|UCMD1|UCMD1C	collagen type VI alpha 3 chain	protein-coding
CYB5R2	chr11	7677247	7678116	+	0	NA	Intergenic	Intergenic	-3414	NM_001302826	51700		NM_016229	ENSG00000166394	CYB5R2	B5R.2	cytochrome b5 reductase 2	protein-coding
LINC02148	chr5	118233458	118233770	+	0	NA	intron (NR_104997, intron 2 of 2)	intron (NR_104997, intron 2 of 2)	-48960	NR_104609	100505811		NR_104609	ENSG00000250427	LINC02148	HNCAT21	long intergenic non-protein coding RNA 2148	ncRNA
ABCA1	chr9	105007013	105007929	+	0	NA	Intergenic	(A)n|Simple_repeat|Simple_repeat	-79316	NM_005502	19		NM_005502	ENSG00000165029	ABCA1	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	ATP binding cassette subfamily A member 1	protein-coding
TRIM44	chr11	35658366	35658989	+	0	NA	Intergenic	MLT1F-int|LTR|ERVL-MaLR	-4098	NM_017583	54765		NM_017583	ENSG00000166326	TRIM44	AN3|DIPB|HSA249128|MC7	tripartite motif containing 44	protein-coding
LINC03005	chr6	22764481	22764837	+	0	NA	Intergenic	Intergenic	-46735	NR_134614	105374972		NR_134613		LINC03005	-	long intergenic non-protein coding RNA 3005	ncRNA
GDE1	chr16	19505641	19506157	+	0	NA	intron (NM_001324067, intron 3 of 4)	L1MC5|LINE|L1	16199	NM_016641	51573		NM_016641	ENSG00000006007	GDE1	363E6.2|MIR16	glycerophosphodiester phosphodiesterase 1	protein-coding
CD163	chr12	7498817	7499179	+	0	NA	exon (NM_004244, exon 4 of 17)	exon (NM_004244, exon 4 of 17)	4779	NM_001370145	9332		NM_004244	ENSG00000177575	CD163	M130|MM130|SCARI1	CD163 molecule	protein-coding
SNORA33	chr6	132864917	132865528	+	0	NA	Intergenic	MER5A1|DNA|hAT-Charlie	48003	NR_002436	594839		NR_002436	ENSG00000200534	SNORA33	ACA33	small nucleolar RNA, H/ACA box 33	snoRNA
OTOL1	chr3	161510608	161510804	+	0	NA	Intergenic	Intergenic	13898	NM_001080440	131149		NM_001080440	ENSG00000182447	OTOL1	C1QTNF15|C1QTNF16	otolin 1	protein-coding
ABLIM1	chr10	114779714	114780679	+	0	NA	TTS (NR_120628)	TTS (NR_120628)	-11892	NM_001322885	3983		NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
FRG1FP	chr22	11317084	11317530	+	0	NA	Intergenic	L1M3|LINE|L1	-355778	NR_132320	102723780		NR_132320		FRG1FP	-	FSHD region gene 1 family member F, pseudogene	pseudo
TSG1	chr6	94084776	94085089	+	0	NA	Intergenic	Intergenic	366629	NR_152795	643432		NR_015362		TSG1	-	tumor suppressor TSG1	ncRNA
GMDS	chr6	2161443	2162833	+	0	NA	intron (NM_001500, intron 1 of 10)	intron (NM_001500, intron 1 of 10)	13853	NM_001253846	2762		NM_001500	ENSG00000112699	GMDS	GMD|SDR3E1	GDP-mannose 4,6-dehydratase	protein-coding
SNORD161	chr4	78319780	78320663	+	0	NA	intron (NM_025074, intron 18 of 73)	intron (NM_025074, intron 18 of 73)	31236	NR_145782	109623453		NR_145782		SNORD161	-	small nucleolar RNA, C/D box 161	snoRNA
WRN	chr8	31286015	31286558	+	0	NA	Intergenic	Intergenic	252476	NM_000553	7486		NM_000553	ENSG00000165392	WRN	RECQ3|RECQL2|RECQL3	WRN RecQ like helicase	protein-coding
CCDC196	chr14	66043865	66044429	+	0	NA	Intergenic	L2-3_Crp|LINE|L2	-442224	NR_110307	440184		NM_001004331	ENSG00000196553	CCDC196	C14orf53|LINC00238|NCRNA00238	coiled-coil domain containing 196	protein-coding
CBLL2	chrX	22526454	22526645	+	0	NA	intron (NR_073010, intron 4 of 11)	intron (NR_073010, intron 4 of 11)	253636	NM_152577	158506		NM_152577	ENSG00000175809	CBLL2	CT138|HAKAIL|ZNF645	Cbl proto-oncogene like 2	protein-coding
LOC101928622	chr4	33301975	33302642	+	0	NA	Intergenic	Intergenic	737585	NR_125902	101928622		NR_125902	ENSG00000250954	LOC101928622	-	uncharacterized LOC101928622	ncRNA
VWC2L-IT1-2	chr2	214593662	214594113	+	0	NA	Intergenic	MER67B|LTR|ERV1	83705	NR_047698	100885780		NR_047698	ENSG00000224257	VWC2L-IT1	-	VWC2L intronic transcript 1	ncRNA
OR5A2	chr11	59394085	59394786	+	0	NA	Intergenic	Tigger2|DNA|TcMar-Tigger	28518	NM_001001954	219981		NM_001001954	ENSG00000172324	OR5A2	-	olfactory receptor family 5 subfamily A member 2	protein-coding
GJA10	chr6	90087936	90088480	+	0	NA	intron (NM_021813, intron 5 of 8)	intron (NM_021813, intron 5 of 8)	193739	NM_032602	84694		NM_032602	ENSG00000135355	GJA10	CX62	gap junction protein alpha 10	protein-coding
NOBOX	chr7	144534129	144535327	+	0	NA	intron (NR_146936, intron 10 of 11)	LTR37A|LTR|ERV1	-124501	NM_001080413	135935		NM_001080413	ENSG00000106410	NOBOX	OG-2|OG2|OG2X|POF5|TCAG_12042	NOBOX oogenesis homeobox	protein-coding
GHITM-2	chr10	83997911	83998579	+	0	NA	Intergenic	Intergenic	-141264	NM_014394	27069		NM_014394	ENSG00000165678	GHITM	DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5	growth hormone inducible transmembrane protein	protein-coding
SLC7A1	chr13	29606228	29606409	+	0	NA	Intergenic	Intergenic	-10630	NM_003045	6541		NM_003045	ENSG00000139514	SLC7A1	ATRC1|CAT-1|ERR|HCAT1|REC1L	solute carrier family 7 member 1	protein-coding
DACH1-2	chr13	72291327	72292130	+	0	NA	Intergenic	Intergenic	-424524	NM_080759	1602		NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
ADGRL4	chr1	79323276	79323559	+	0	NA	Intergenic	L2c|LINE|L2	-316687	NM_022159	64123		NM_022159	ENSG00000162618	ADGRL4	ELTD1|ETL|KPG_003	adhesion G protein-coupled receptor L4	protein-coding
